,year,month,uf_acronym,type,number_of_consumers,consumption
16529,2019,1,AP,residential,181921,39403.0
16530,2019,1,TO,residential,486521,84959.96
16531,2019,1,MA,residential,2248527,265154.0
16532,2019,1,PI,residential,1119166,134186.8
16533,2019,1,CE,residential,2790126,379518.5
16534,2019,1,RN,residential,1265598,195598.0
16535,2019,1,PB,residential,1357618,183563.15
16536,2019,1,PE,residential,3272712,428716.0
16537,2019,1,AL,residential,1052971,128714.0
16538,2019,1,SE,residential,816393,107221.65
16539,2019,1,BA,residential,5297692,610557.96
16540,2019,1,MG,residential,7306295,983549.7
16541,2019,1,ES,residential,1288542,245514.5
16542,2019,1,RJ,residential,6596812,1416090.32
16543,2019,1,SP,residential,17461562,3744559.23
16544,2019,1,PR,residential,3886893,717440.21
16545,2019,1,SC,residential,2375648,667995.65
16546,2019,1,RS,residential,4027797,917351.59
16547,2019,1,MS,residential,890494,209573.96
16548,2019,1,MT,residential,1095960,252626.24
16549,2019,1,GO,residential,2538670,436125.8
16550,2019,1,DF,residential,948036,187142.0
16551,2019,2,RO,residential,462774,102018.93
16552,2019,2,AC,residential,210194,37130.22
16553,2019,2,AM,residential,867880,152345.0
16554,2019,2,RR,residential,130728,37511.09
16555,2019,2,PA,residential,2295324,266226.67
16556,2019,2,AP,residential,181994,41039.0
16557,2019,2,TO,residential,488014,77497.69
16558,2019,2,MA,residential,2251539,256349.5
16559,2019,2,PI,residential,1123064,139991.5
16560,2019,2,CE,residential,2794585,384184.6
16561,2019,2,RN,residential,1268269,193691.0
16562,2019,2,PB,residential,1359385,168134.39
16563,2019,2,PE,residential,3274290,430487.0
16564,2019,2,AL,residential,1054480,124784.0
16565,2019,2,SE,residential,817442,102906.78
16566,2019,2,BA,residential,5305651,621313.29
16567,2019,2,MG,residential,7313695,994655.55
16568,2019,2,ES,residential,1289002,252109.0
16569,2019,2,RJ,residential,6594952,1299785.69
16570,2019,2,SP,residential,17459267,3642284.25
16571,2019,2,PR,residential,3892906,699960.5
16572,2019,2,SC,residential,2382564,644601.33
16573,2019,2,RS,residential,4035411,881917.26
16574,2019,2,MS,residential,894297,206291.08
16575,2019,2,MT,residential,1099919,248926.86
16576,2019,2,GO,residential,2539403,426071.6
16577,2019,2,DF,residential,948666,194454.0
16578,2019,3,RO,residential,462325,98208.79
16579,2019,3,AC,residential,211085,38960.97
16580,2019,3,AM,residential,868807,174683.0
16581,2019,3,RR,residential,131041,41199.64
16582,2019,3,PA,residential,2279485,262047.92
16583,2019,3,AP,residential,182081,38512.0
16584,2019,3,TO,residential,489315,78132.78
16585,2019,3,MA,residential,2255132,258375.2
16586,2019,3,PI,residential,1124590,136589.3
16587,2019,3,CE,residential,2797410,372697.8
16588,2019,3,RN,residential,1270685,193639.0
16589,2019,3,PB,residential,1360712,173168.66
16590,2019,3,PE,residential,3280968,478164.0
16591,2019,3,AL,residential,1057519,125022.0
16592,2019,3,SE,residential,818342,109258.04
16593,2019,3,BA,residential,5312476,694333.5
16594,2019,3,MG,residential,7325605,969669.6
16595,2019,3,ES,residential,1292630,259827.2
16596,2019,3,RJ,residential,6603031,1326464.66
16597,2019,3,SP,residential,17510748,3516365.31
16598,2019,3,PR,residential,3896385,640440.53
16599,2019,3,SC,residential,2389048,546392.81
16600,2019,3,RS,residential,4048271,813090.71
16601,2019,3,MS,residential,896585,184883.09
16602,2019,3,MT,residential,1103505,255145.91
16603,2019,3,GO,residential,2548534,415217.5
16604,2019,3,DF,residential,950049,183560.0
16605,2019,4,RO,residential,462868,104014.44
16606,2019,4,AC,residential,210163,40139.62
16607,2019,4,AM,residential,870917,174548.0
16608,2019,4,RR,residential,131454,45029.8
16609,2019,4,PA,residential,2277851,266446.54
16610,2019,4,AP,residential,182294,39444.0
16611,2019,4,TO,residential,490622,82255.86
16612,2019,4,MA,residential,2260133,259549.3
16613,2019,4,PI,residential,1130284,134037.2
16614,2019,4,CE,residential,2803440,349962.4
16615,2019,4,RN,residential,1272571,178164.0
16616,2019,4,PB,residential,1362188,174515.09
16617,2019,4,PE,residential,3283843,437266.0
16618,2019,4,AL,residential,1060622,122849.16
16619,2019,4,SE,residential,818341,106458.07
16620,2019,4,BA,residential,5320537,618620.14
16621,2019,4,MG,residential,7335014,920453.65
16622,2019,4,ES,residential,1293773,226068.0
16623,2019,4,RJ,residential,6606247,1135047.54
16624,2019,4,SP,residential,17529239,3328708.8
16625,2019,4,PR,residential,3908224,623155.07
16626,2019,4,SC,residential,2394791,490843.54
16627,2019,4,RS,residential,4053638,692675.66
16628,2019,4,MS,residential,899522,174842.48
16629,2019,4,MT,residential,1108293,251019.19
16630,2019,4,GO,residential,2556987,417783.0
16631,2019,4,DF,residential,948560,175562.0
16632,2019,5,RO,residential,463307,106563.17
16633,2019,5,AC,residential,210921,41342.13
16634,2019,5,AM,residential,872925,171025.0
16635,2019,5,RR,residential,131527,38162.45
16636,2019,5,PA,residential,2289901,286116.85
16637,2019,5,AP,residential,182586,42193.0
16638,2019,5,TO,residential,491646,91884.31
16639,2019,5,MA,residential,2269244,271634.9
16640,2019,5,PI,residential,1132064,141659.3
16641,2019,5,CE,residential,2815202,384453.5
16642,2019,5,RN,residential,1274790,188769.0
16643,2019,5,PB,residential,1362839,176364.35
16644,2019,5,PE,residential,3291410,458690.0
16645,2019,5,AL,residential,1060523,122360.0
16646,2019,5,SE,residential,819802,109588.14
16647,2019,5,BA,residential,5327878,636722.35
16648,2019,5,MG,residential,7345680,924582.55
16649,2019,5,ES,residential,1297578,235667.7
16650,2019,5,RJ,residential,6627636,1167676.41
16651,2019,5,SP,residential,17571318,3457485.81
16652,2019,5,PR,residential,3915185,627339.69
16653,2019,5,SC,residential,2399499,481942.24
16654,2019,5,RS,residential,4060976,712892.52
16655,2019,5,MS,residential,901277,175385.59
16656,2019,5,MT,residential,1113702,261834.39
16657,2019,5,GO,residential,2564419,419829.3
16658,2019,5,DF,residential,949550,194429.0
16659,2019,6,RO,residential,463721,99780.53
16660,2019,6,AC,residential,211376,39098.55
16661,2019,6,AM,residential,875316,170380.0
16662,2019,6,RR,residential,131559,30525.93
16663,2019,6,PA,residential,2304368,313839.16
16664,2019,6,AP,residential,182224,41523.0
16665,2019,6,TO,residential,492938,87258.83
16666,2019,6,MA,residential,2263944,266282.3
16667,2019,6,PI,residential,1135121,142904.0
16668,2019,6,CE,residential,2809066,380301.3
16669,2019,6,RN,residential,1276377,186813.0
16670,2019,6,PB,residential,1362500,161791.93
16671,2019,6,PE,residential,3298280,413552.0
16672,2019,6,AL,residential,1057659,106654.0
16673,2019,6,SE,residential,821469,98919.36
16674,2019,6,BA,residential,5334083,572967.57
16675,2019,6,MG,residential,7364516,895877.85
16676,2019,6,ES,residential,1296179,189685.5
16677,2019,6,RJ,residential,6614442,976224.17
16678,2019,6,SP,residential,17583053,3207913.88
16679,2019,6,PR,residential,3916986,605419.24
16680,2019,6,SC,residential,2402799,442984.73
16681,2019,6,RS,residential,4064891,666041.31
16682,2019,6,MS,residential,901719,144475.9
16683,2019,6,MT,residential,1115794,233246.62
16684,2019,6,GO,residential,2569571,394318.9
16685,2019,6,DF,residential,949494,181537.0
16686,2019,7,RO,residential,467282,110211.82
16687,2019,7,AC,residential,213096,40759.75
16688,2019,7,AM,residential,877905,173774.0
16689,2019,7,RR,residential,131896,36211.63
16690,2019,7,PA,residential,2306733,312474.67
16691,2019,7,AP,residential,182925,46655.0
16692,2019,7,TO,residential,494578,87353.81
16693,2019,7,MA,residential,2298147,270973.0
16694,2019,7,PI,residential,1135353,142817.6
16695,2019,7,CE,residential,2739978,387478.7
16696,2019,7,RN,residential,1277735,175848.0
16697,2019,7,PB,residential,1365033,160159.17
16698,2019,7,PE,residential,3301564,401551.0
16699,2019,7,AL,residential,1059568,107166.0
16700,2019,7,SE,residential,823140,93408.23
16701,2019,7,BA,residential,5338419,561100.31
16702,2019,7,MG,residential,7375257,877392.86
16703,2019,7,ES,residential,1300303,185318.7
16704,2019,7,RJ,residential,6589060,913682.9
16705,2019,7,SP,residential,17635349,3175923.43
16706,2019,7,PR,residential,3921795,598758.11
16707,2019,7,SC,residential,2408348,444126.08
16708,2019,7,RS,residential,4070334,718333.27
16709,2019,7,MS,residential,903970,147064.73
16710,2019,7,MT,residential,1119665,233726.58
16711,2019,7,GO,residential,2577430,380347.5
16712,2019,7,DF,residential,949670,169669.0
16713,2019,8,RO,residential,470003,108533.35
16714,2019,8,AC,residential,214632,38614.48
16715,2019,8,AM,residential,878244,185321.0
16716,2019,8,RR,residential,131935,34233.91
16717,2019,8,PA,residential,2309538,319115.01
16718,2019,8,AP,residential,182478,45274.0
16719,2019,8,TO,residential,495736,86779.41
16720,2019,8,MA,residential,2259129,276293.4
16721,2019,8,PI,residential,1134698,143619.4
16722,2019,8,CE,residential,2888689,354331.3
16723,2019,8,RN,residential,1279066,172153.0
16724,2019,8,PB,residential,1366189,150575.47
16725,2019,8,PE,residential,3305654,376022.0
16726,2019,8,AL,residential,1056663,108317.0
16727,2019,8,SE,residential,824676,89118.159
16728,2019,8,BA,residential,5347943,535701.46
16729,2019,8,MG,residential,7389512,911767.85
16730,2019,8,ES,residential,1299509,185967.4
16731,2019,8,RJ,residential,6577112,921731.34
16732,2019,8,SP,residential,17647469,3182353.81
16733,2019,8,PR,residential,3926936,608121.88
16734,2019,8,SC,residential,2413543,464265.75
16735,2019,8,RS,residential,4071951,725016.93
16736,2019,8,MS,residential,904785,148127.08
16737,2019,8,MT,residential,1121937,237442.85
16738,2019,8,GO,residential,2583448,394175.9
16739,2019,8,DF,residential,950536,184031.0
16740,2019,9,RO,residential,470954,120131.44
16741,2019,9,AC,residential,216246,45501.09
16742,2019,9,AM,residential,877622,178109.0
16743,2019,9,RR,residential,131599,37114.1
16744,2019,9,PA,residential,2311152,325536.52
16745,2019,9,AP,residential,182874,49812.0
16746,2019,9,TO,residential,497769,99569.12
16747,2019,9,MA,residential,2257278,286869.6
16748,2019,9,PI,residential,1138475,154848.3
16749,2019,9,CE,residential,2861504,359115.0
16750,2019,9,RN,residential,1280965,171272.0
16751,2019,9,PB,residential,1367558,155036.74
16752,2019,9,PE,residential,3309934,374084.0
16753,2019,9,AL,residential,1042953,115064.0
16754,2019,9,SE,residential,826269,91820.68
16755,2019,9,BA,residential,5356555,555104.52
16756,2019,9,MG,residential,7403963,955453.89
16757,2019,9,ES,residential,1300307,181616.0
16758,2019,9,RJ,residential,6577826,933929.19
16759,2019,9,SP,residential,17665284,3305429.14
16760,2019,9,PR,residential,3933870,628202.19
16761,2019,9,SC,residential,2418015,458782.38
16762,2019,9,RS,residential,4073883,683906.06
16763,2019,9,MS,residential,907095,173384.31
16764,2019,9,MT,residential,1125907,279676.19
16765,2019,9,GO,residential,2589979,466860.5
16766,2019,9,DF,residential,952240,192951.0
16767,2019,10,RO,residential,461544,114688.7
16768,2019,10,AC,residential,212269,42272.43
16769,2019,10,AM,residential,879714,154303.0
16770,2019,10,RR,residential,131481,41771.35
16771,2019,10,PA,residential,2320270,328868.69
16772,2019,10,AP,residential,180231,47817.0
16773,2019,10,TO,residential,497670,97207.04
16774,2019,10,MA,residential,2264161,291642.7
16775,2019,10,PI,residential,1137585,164902.2
16776,2019,10,CE,residential,2934908,388971.1
16777,2019,10,RN,residential,1283192,183721.0
16778,2019,10,PB,residential,1367102,165621.23
16779,2019,10,PE,residential,3315797,437086.0
16780,2019,10,AL,residential,1081745,120912.0
16781,2019,10,SE,residential,826474,96460.02
16782,2019,10,BA,residential,5365637,618469.71
16783,2019,10,MG,residential,7414396,934150.39
16784,2019,10,ES,residential,1302700,209424.9
16785,2019,10,RJ,residential,6573493,987899.89
16786,2019,10,SP,residential,17713116,3536855.91
16787,2019,10,PR,residential,3942086,657780.88
16788,2019,10,SC,residential,2423521,465656.06
16789,2019,10,RS,residential,4080942,726320.11
16790,2019,10,MS,residential,908661,191539.51
16791,2019,10,MT,residential,1125982,286415.16
16792,2019,10,GO,residential,2608691,484516.9
16793,2019,10,DF,residential,953312,197840.0
16794,2019,11,RO,residential,462346,109764.3
16795,2019,11,AC,residential,210921,43983.82
16796,2019,11,AM,residential,881757,173341.0
16797,2019,11,RR,residential,131354,40080.94
16798,2019,11,PA,residential,2328755,333709.32
16799,2019,11,AP,residential,183291,48054.0
16800,2019,11,TO,residential,497162,88555.65
16801,2019,11,MA,residential,2269113,296133.1
16802,2019,11,PI,residential,1138421,173274.8
16803,2019,11,CE,residential,2821400,417492.1
16804,2019,11,RN,residential,1285121,192849.0
16805,2019,11,PB,residential,1366829,170884.37
16806,2019,11,PE,residential,3321997,447022.0
16807,2019,11,AL,residential,1083562,126294.0
16808,2019,11,SE,residential,826599,101900.44
16809,2019,11,BA,residential,5374009,639438.85
16810,2019,11,MG,residential,7431682,1019505.58
16811,2019,11,ES,residential,1304810,220134.8
16812,2019,11,RJ,residential,6598601,1127268.97
16813,2019,11,SP,residential,17749963,3601006.52
16814,2019,11,PR,residential,3948622,682777.36
16815,2019,11,SC,residential,2428797,495479.3
16816,2019,11,RS,residential,4090606,735330.65
16817,2019,11,MS,residential,910088,200898.7
16818,2019,11,MT,residential,1128185,278382.09
16819,2019,11,GO,residential,2604653,450239.5
16820,2019,11,DF,residential,950115,209877.0
16821,2019,12,RO,residential,466685,110876.42
16822,2019,12,AC,residential,212010,42693.49
16823,2019,12,AM,residential,883561,179815.0
16824,2019,12,RR,residential,132113,39456.82
16825,2019,12,PA,residential,2323588,331271.37
16826,2019,12,AP,residential,183418,44772.03
16827,2019,12,TO,residential,498033,88880.13
16828,2019,12,MA,residential,2276955,305200.2
16829,2019,12,PI,residential,1114558,167279.7
16830,2019,12,CE,residential,2935298,427810.1
16831,2019,12,RN,residential,1297376,196864.0
16832,2019,12,PB,residential,1372335,181016.44
16833,2019,12,PE,residential,3330803,481557.0
16834,2019,12,AL,residential,1004843,131507.0
16835,2019,12,SE,residential,826643,105921.48
16836,2019,12,BA,residential,5402274,677536.75
16837,2019,12,MG,residential,7454286,934892.1
16838,2019,12,ES,residential,1310465,232721.9
16839,2019,12,RJ,residential,6359992,1064399.48
16840,2019,12,SP,residential,17832649,3450850.69
16841,2019,12,PR,residential,3952776,647954.37
16842,2019,12,SC,residential,2435214,498547.24
16843,2019,12,RS,residential,4114961,772077.72
16844,2019,12,MS,residential,911472,193820.27
16845,2019,12,MT,residential,1135097,281724.89
16846,2019,12,GO,residential,2613056,429933.4
16847,2019,12,DF,residential,952177,181326.0
16848,2020,1,RO,residential,468427,108742.4
16849,2020,1,AC,residential,213327,41226.36
16850,2020,1,AM,residential,885050,175459.95
16851,2020,1,RR,residential,133205,40377.48
16852,2020,1,PA,residential,2339911,304390.65
16853,2020,1,AP,residential,183543,43537.48
16854,2020,1,TO,residential,499849,85819.67
16855,2020,1,MA,residential,2293360,281112.5
16856,2020,1,PI,residential,1113492,154811.1
16857,2020,1,CE,residential,2839499,423935.6
16858,2020,1,RN,residential,1292027,205653.0
16859,2020,1,PB,residential,1376465,189148.78
16860,2020,1,PE,residential,3337532,445393.0
16861,2020,1,AL,residential,1006259,135857.82
16862,2020,1,SE,residential,826742,109490.42
16863,2020,1,BA,residential,5405866,645416.38
16864,2020,1,MG,residential,7466725,1032198.86
16865,2020,1,ES,residential,1309147,245950.9
16866,2020,1,RJ,residential,6584851,1286719.11
16867,2020,1,SP,residential,17640546,3594571.68
16868,2020,1,PR,residential,3965866,708455.93
16869,2020,1,SC,residential,2445292,627967.39
16870,2020,1,RS,residential,3998629,907800.06
16871,2020,1,MS,residential,915970,196146.49
16872,2020,1,MT,residential,1138939,270975.42
16873,2020,1,GO,residential,2622644,450041.12
16874,2020,1,DF,residential,951894,197309.0
16875,2020,2,RO,residential,470838,114318.56
16876,2020,2,AC,residential,214471,45752.56
16877,2020,2,AM,residential,886888,177783.45
16878,2020,2,RR,residential,134300,37768.3
16879,2020,2,PA,residential,2318389,294085.82
16880,2020,2,AP,residential,183980,43032.28
16881,2020,2,TO,residential,499621,83107.74
16882,2020,2,MA,residential,2268711,266899.0
16883,2020,2,PI,residential,1111323,143815.2
16884,2020,2,CE,residential,2902234,362278.3
16885,2020,2,RN,residential,1293912,191540.0
16886,2020,2,PB,residential,1378264,184335.19
16887,2020,2,PE,residential,3338737,448854.0
16888,2020,2,AL,residential,1026755,132042.2
16889,2020,2,SE,residential,828394,110842.26
16890,2020,2,BA,residential,5408137,616273.73
16891,2020,2,MG,residential,7475575,971793.17
16892,2020,2,ES,residential,1310326,234296.4
16893,2020,2,RJ,residential,6584146,1255654.53
16894,2020,2,SP,residential,17618740,3428472.41
16895,2020,2,PR,residential,3971717,700085.55
16896,2020,2,SC,residential,2449086,617368.18
16897,2020,2,RS,residential,4000901,823643.19
16898,2020,2,MS,residential,917431,208401.47
16899,2020,2,MT,residential,1139359,272339.51
16900,2020,2,GO,residential,2619796,433616.64
16901,2020,2,DF,residential,955307,184829.0
16902,2020,3,RO,residential,473266,110924.56
16903,2020,3,AC,residential,215898,45461.33
16904,2020,3,AM,residential,888333,185399.7
16905,2020,3,RR,residential,135507,47737.53
16906,2020,3,PA,residential,2325967,292592.7
16907,2020,3,AP,residential,183964,42033.23
16908,2020,3,TO,residential,500014,85053.79
16909,2020,3,MA,residential,2271686,269797.3
16910,2020,3,PI,residential,1110779,139778.2
16911,2020,3,CE,residential,3000041,378958.6
16912,2020,3,RN,residential,1294485,205165.0
16913,2020,3,PB,residential,1381466,191944.26
16914,2020,3,PE,residential,3346351,490540.0
16915,2020,3,AL,residential,973590,135138.55
16916,2020,3,SE,residential,829504,117738.87
16917,2020,3,BA,residential,5415327,670567.0
16918,2020,3,MG,residential,7469679,981078.0
16919,2020,3,ES,residential,1312597,240299.5
16920,2020,3,RJ,residential,6585155,1212553.21
16921,2020,3,SP,residential,17720065,3460676.63
16922,2020,3,PR,residential,3978871,673954.33
16923,2020,3,SC,residential,2454913,547929.23
16924,2020,3,RS,residential,4007398,822313.29
16925,2020,3,MS,residential,917149,203722.44
16926,2020,3,MT,residential,1138523,272590.49
16927,2020,3,GO,residential,2609372,418574.61
16928,2020,3,DF,residential,951123,189337.0
16929,2020,4,RO,residential,443249,111782.09
16930,2020,4,AC,residential,216200,44226.49
16931,2020,4,AM,residential,885774,177562.3
16932,2020,4,RR,residential,132735,45688.03
16933,2020,4,PA,residential,2322385,313629.58
16934,2020,4,AP,residential,184102,42227.36
16935,2020,4,TO,residential,500768,90013.89
16936,2020,4,MA,residential,2271432,283182.9
16937,2020,4,PI,residential,1105280,145346.3
16938,2020,4,CE,residential,3334736,418980.0
16939,2020,4,RN,residential,1289761,216776.0
16940,2020,4,PB,residential,1382931,195107.79
16941,2020,4,PE,residential,3351800,505141.0
16942,2020,4,AL,residential,1025592,139027.1
16943,2020,4,SE,residential,830350,109729.84
16944,2020,4,BA,residential,5421391,654540.08
16945,2020,4,MG,residential,7475989,1000173.08
16946,2020,4,ES,residential,1311547,232938.5
16947,2020,4,RJ,residential,6586627,1102613.98
16948,2020,4,SP,residential,17288312,3342502.11
16949,2020,4,PR,residential,3982754,682960.14
16950,2020,4,SC,residential,2459291,560736.09
16951,2020,4,RS,residential,3992433,752195.64
16952,2020,4,MS,residential,917423,200782.83
16953,2020,4,MT,residential,1141089,283356.66
16954,2020,4,GO,residential,2631847,461390.4
16955,2020,4,DF,residential,949183,205748.0
16956,2020,5,RO,residential,417733,113115.72
16957,2020,5,AC,residential,241647,41840.61
16958,2020,5,AM,residential,892172,178897.91
16959,2020,5,RR,residential,125288,40068.04
16960,2020,5,PA,residential,2343843,312719.64
16961,2020,5,AP,residential,173580,42146.15
16962,2020,5,TO,residential,502494,93079.63
16963,2020,5,MA,residential,2278223,282196.4
16964,2020,5,PI,residential,1110391,150268.1
16965,2020,5,CE,residential,2895161,409727.8
16966,2020,5,RN,residential,1287150,199875.0
16967,2020,5,PB,residential,1387036,193504.52
16968,2020,5,PE,residential,3357211,475646.0
16969,2020,5,AL,residential,1017956,129696.3
16970,2020,5,SE,residential,831933,114661.39
16971,2020,5,BA,residential,5430682,632002.65
16972,2020,5,MG,residential,7494797,934172.61
16973,2020,5,ES,residential,1313700,208023.2
16974,2020,5,RJ,residential,6519144,1016750.52
16975,2020,5,SP,residential,17373413,3267614.96
16976,2020,5,PR,residential,3984003,637679.57
16977,2020,5,SC,residential,2460625,498498.52
16978,2020,5,RS,residential,4011855,713857.74
16979,2020,5,MS,residential,919588,173176.12
16980,2020,5,MT,residential,1143199,275644.91
16981,2020,5,GO,residential,2655882,419131.76
16982,2020,5,DF,residential,948588,201906.0
16983,2020,6,RO,residential,429141,103767.4
16984,2020,6,AC,residential,218152,39375.51
16985,2020,6,AM,residential,893552,187447.3
16986,2020,6,RR,residential,124022,39523.73
16987,2020,6,PA,residential,2348040,326119.06
16988,2020,6,AP,residential,141487,42293.57
16989,2020,6,TO,residential,505244,90834.94
16990,2020,6,MA,residential,2283594,296056.4
16991,2020,6,PI,residential,1108976,150702.3
16992,2020,6,CE,residential,2976562,400729.9
16993,2020,6,RN,residential,1285781,190157.0
16994,2020,6,PB,residential,1390120,162716.41
16995,2020,6,PE,residential,3363064,415947.0
16996,2020,6,AL,residential,1030183,129217.2
16997,2020,6,SE,residential,835167,100101.22
16998,2020,6,BA,residential,5443737,579082.22
16999,2020,6,MG,residential,7496072,919428.67
17000,2020,6,ES,residential,1317395,188120.8
17001,2020,6,RJ,residential,6584179,975153.71
17002,2020,6,SP,residential,17564905,3318000.04
17003,2020,6,PR,residential,3989670,629797.53
17004,2020,6,SC,residential,2464075,482429.87
17005,2020,6,RS,residential,4015652,667115.3
17006,2020,6,MS,residential,922793,146509.66
17007,2020,6,MT,residential,1151313,225621.87
17008,2020,6,GO,residential,2761768,406020.32
17009,2020,6,DF,residential,948452,183696.0
17010,2020,7,RO,residential,482202,114076.13
17011,2020,7,AC,residential,219812,40381.93
17012,2020,7,AM,residential,895192,201294.27
17013,2020,7,RR,residential,139670,39823.3
17014,2020,7,PA,residential,2336623,345098.22
17015,2020,7,AP,residential,184267,42168.53
17016,2020,7,TO,residential,508206,90383.88
17017,2020,7,MA,residential,2280650,300985.7
17018,2020,7,PI,residential,1109083,156363.2
17019,2020,7,CE,residential,2915752,383811.6
17020,2020,7,RN,residential,1286591,185259.0
17021,2020,7,PB,residential,1395149,163378.92
17022,2020,7,PE,residential,3374457,422883.0
17023,2020,7,AL,residential,1037942,121340.4
17024,2020,7,SE,residential,839131,95032.76
17025,2020,7,BA,residential,5459344,592220.27
17026,2020,7,MG,residential,7546035,892049.44
17027,2020,7,ES,residential,1320417,198959.7
17028,2020,7,RJ,residential,6576282,957964.88
17029,2020,7,SP,residential,17702216,3447358.27
17030,2020,7,PR,residential,4005386,627283.38
17031,2020,7,SC,residential,2468820,511944.0
17032,2020,7,RS,residential,4022515,776574.69
17033,2020,7,MS,residential,926158,155869.72
17034,2020,7,MT,residential,1154570,252539.22
17035,2020,7,GO,residential,2664375,403904.02
17036,2020,7,DF,residential,948501,187580.0
17037,2020,8,RO,residential,485282,123152.02
17038,2020,8,AC,residential,222790,46685.41
17039,2020,8,AM,residential,897963,202224.22
17040,2020,8,RR,residential,139008,38616.97
17041,2020,8,PA,residential,2338047,355565.79
17042,2020,8,AP,residential,184239,42669.2
17043,2020,8,TO,residential,511805,87170.22
17044,2020,8,MA,residential,2284305,300214.6
17045,2020,8,PI,residential,1092702,150730.3
17046,2020,8,CE,residential,2993736,394519.0
17047,2020,8,RN,residential,1290524,180145.0
17048,2020,8,PB,residential,1401796,162020.61
17049,2020,8,PE,residential,3377157,404303.0
17050,2020,8,AL,residential,1041053,108890.6
17051,2020,8,SE,residential,842905,93428.29
17052,2020,8,BA,residential,5459983,559791.24
17053,2020,8,MG,residential,7571327,990379.77
17054,2020,8,ES,residential,1326690,194487.4
17055,2020,8,RJ,residential,6552234,1023552.77
17056,2020,8,SP,residential,17917514,3463066.56
17057,2020,8,PR,residential,4027954,642776.53
17058,2020,8,SC,residential,2474292,487663.32
17059,2020,8,RS,residential,4029703,748994.59
17060,2020,8,MS,residential,930610,166842.81
17061,2020,8,MT,residential,1159314,244965.16
17062,2020,8,GO,residential,2687845,434948.44
17063,2020,8,DF,residential,950307,203972.0
17064,2020,9,RO,residential,489448,135238.42
17065,2020,9,AC,residential,224272,51911.34
17066,2020,9,AM,residential,900624,204859.51
17067,2020,9,RR,residential,140718,45426.43
17068,2020,9,PA,residential,2349330,358676.32
17069,2020,9,AP,residential,184090,42044.3
17070,2020,9,TO,residential,514025,103753.6
17071,2020,9,MA,residential,2292029,313750.8
17072,2020,9,PI,residential,1092286,163499.3
17073,2020,9,CE,residential,2954373,405768.9
17074,2020,9,RN,residential,1294851,188303.0
17075,2020,9,PB,residential,1408146,170818.51
17076,2020,9,PE,residential,3389329,413000.0
17077,2020,9,AL,residential,1051879,119175.4
17078,2020,9,SE,residential,846480,100820.72
17079,2020,9,BA,residential,5470924,583426.99
17080,2020,9,MG,residential,7586734,970648.32
17081,2020,9,ES,residential,1330799,208945.7
17082,2020,9,RJ,residential,6646401,1052915.22
17083,2020,9,SP,residential,17905067,3524278.0
17084,2020,9,PR,residential,4042290,670627.66
17085,2020,9,SC,residential,2482429,528056.08
17086,2020,9,RS,residential,4042249,729852.07
17087,2020,9,MS,residential,933618,182334.25
17088,2020,9,MT,residential,1163254,283733.9
17089,2020,9,GO,residential,2692289,485778.57
17090,2020,9,DF,residential,953852,202745.0
17091,2020,10,RO,residential,491013,143399.0
17092,2020,10,AC,residential,224610,51275.96
17093,2020,10,AM,residential,902950,197223.74
17094,2020,10,RR,residential,141356,48601.44
17095,2020,10,PA,residential,2384729,364359.58
17096,2020,10,AP,residential,184046,44711.46
17097,2020,10,TO,residential,514430,111452.3
17098,2020,10,MA,residential,2311061,329654.8
17099,2020,10,PI,residential,1094669,177922.3
17100,2020,10,CE,residential,2974929,432658.6
17101,2020,10,RN,residential,1299707,195847.0
17102,2020,10,PB,residential,1412292,182876.98
17103,2020,10,PE,residential,3387445,444807.0
17104,2020,10,AL,residential,1041822,125286.0
17105,2020,10,SE,residential,846900,104010.03
17106,2020,10,BA,residential,5483700,634966.08
17107,2020,10,MG,residential,7590851,1054775.85
17108,2020,10,ES,residential,1333211,223888.1
17109,2020,10,RJ,residential,6571265,1186596.44
17110,2020,10,SP,residential,17930762,3776131.63
17111,2020,10,PR,residential,4053334,735947.09
17112,2020,10,SC,residential,2489994,503896.56
17113,2020,10,RS,residential,4048815,713184.62
17114,2020,10,MS,residential,935704,212195.18
17115,2020,10,MT,residential,1169123,332377.48
17116,2020,10,GO,residential,2698382,539182.04
17117,2020,10,DF,residential,955319,222851.0
17118,2020,11,RO,residential,491845,129261.28
17119,2020,11,AC,residential,224080,50342.61
17120,2020,11,AM,residential,904878,189009.89
17121,2020,11,RR,residential,142027,45923.4
17122,2020,11,PA,residential,2384581,368295.02
17123,2020,11,AP,residential,184800,45101.8
17124,2020,11,TO,residential,515078,98096.92
17125,2020,11,MA,residential,2306418,324119.5
17126,2020,11,PI,residential,1096387,180082.5
17127,2020,11,CE,residential,2983074,425889.5
17128,2020,11,RN,residential,1303596,202262.0
17129,2020,11,PB,residential,1414741,196164.54
17130,2020,11,PE,residential,3399227,466171.0
17131,2020,11,AL,residential,1053405,139142.3
17132,2020,11,SE,residential,849058,112649.2
17133,2020,11,BA,residential,5494801,633607.71
17134,2020,11,MG,residential,7613233,1044994.15
17135,2020,11,ES,residential,1336974,218416.1
17136,2020,11,RJ,residential,6515851,1125817.53
17137,2020,11,SP,residential,17962507,3610007.16
17138,2020,11,PR,residential,4064061,708542.78
17139,2020,11,SC,residential,2497403,505800.56
17140,2020,11,RS,residential,4055741,736638.0
17141,2020,11,MS,residential,937470,191700.5
